Termino,Aparicion,Documento,HASH
pudo,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",106
prodigioso,1,['la_biblioteca_de_babel.txt'],107
rudo,1,['la_biblioteca_de_babel.txt'],108
volúmen,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",109
vindicacion,1,['la_biblioteca_de_babel.txt'],109
tan,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",109
despeñado,1,['la_biblioteca_de_babel.txt'],110
terribl,1,['la_biblioteca_de_babel.txt'],110
hombr,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",110
n,1,['la_biblioteca_de_babel.txt'],110
ley,1,['la_biblioteca_de_babel.txt'],110
proferían,1,['la_biblioteca_de_babel.txt'],110
inconceb,1,['la_biblioteca_de_babel.txt'],111
sugirió,1,['la_biblioteca_de_babel.txt'],112
exista,1,['la_biblioteca_de_babel.txt'],112
hoja,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",114
realment,1,['la_biblioteca_de_babel.txt'],114
demá,1,['la_biblioteca_de_babel.txt'],115
palabra,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",115
funcionario,1,['la_biblioteca_de_babel.txt'],115
omnipotent,1,['la_biblioteca_de_babel.txt'],115
sentado,1,['la_biblioteca_de_babel.txt'],116
metódica,1,['la_biblioteca_de_babel.txt'],116
nombr,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",116
prometen,1,['la_biblioteca_de_babel.txt'],118
ilógico,1,['la_biblioteca_de_babel.txt'],118
incoherencia,1,['la_biblioteca_de_babel.txt'],118
treinta,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",119
ningún,1,['la_biblioteca_de_babel.txt'],120
verdad,1,['la_biblioteca_de_babel.txt'],120
elemento,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",121
sueño,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",121
intuición,1,['la_biblioteca_de_babel.txt'],122
nací,1,['la_biblioteca_de_babel.txt'],123
infierno,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",124
minuciosa,1,['la_biblioteca_de_babel.txt'],124
trágica,1,['la_biblioteca_de_babel.txt'],125
ment,1,['la_biblioteca_de_babel.txt'],126
sílaba,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",126
aquel,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",128
exhibían,1,['la_biblioteca_de_babel.txt'],128
figura,1,['la_biblioteca_de_babel.txt'],128
dispar,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",129
justificado,1,['la_biblioteca_de_babel.txt'],129
correspondían,1,['la_biblioteca_de_babel.txt'],129
articular,1,['la_biblioteca_de_babel.txt'],131
sé,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",132
gnóstico,1,['la_biblioteca_de_babel.txt'],132
criptográfica,1,['la_biblioteca_de_babel.txt'],132
largo,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",133
cercano,1,['la_biblioteca_de_babel.txt'],133
do,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",133
justificación,1,['la_biblioteca_de_babel.txt'],133
encontrar,1,['la_biblioteca_de_babel.txt'],134
buscador,1,['la_biblioteca_de_babel.txt'],135
furor,1,['la_biblioteca_de_babel.txt'],136
aceptada,1,['la_biblioteca_de_babel.txt'],137
ubicuo,1,['la_biblioteca_de_babel.txt'],137
creyeron,1,['la_biblioteca_de_babel.txt'],137
juventud,1,['la_biblioteca_de_babel.txt'],137
gener,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",137
llena,1,['la_biblioteca_de_babel.txt'],138
multiform,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",139
correcta,1,['la_biblioteca_de_babel.txt'],139
hospedaba,1,['la_biblioteca_de_babel.txt'],139
desesperada,1,['la_biblioteca_de_babel.txt'],139
caracter,1,['la_biblioteca_de_babel.txt'],141
epístola,1,['la_biblioteca_de_babel.txt'],141
saben,1,['la_biblioteca_de_babel.txt'],141
volumen,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",142
angosto,1,['la_biblioteca_de_babel.txt'],143
disolverá,1,['la_biblioteca_de_babel.txt'],143
conquistar,1,['la_biblioteca_de_babel.txt'],143
nadi,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",144
incomprens,1,['la_biblioteca_de_babel.txt'],144
promulgar,1,['la_biblioteca_de_babel.txt'],145
infinitesim,1,['la_biblioteca_de_babel.txt'],145
galería,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",147
muert,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",147
circular,1,['la_biblioteca_de_babel.txt'],147
elegant,1,['la_biblioteca_de_babel.txt'],148
garabatea,1,['la_biblioteca_de_babel.txt'],148
revela,1,['la_biblioteca_de_babel.txt'],149
enloquecieron,1,['la_biblioteca_de_babel.txt'],149
viento,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",149
noticia,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",149
tener,1,['la_biblioteca_de_babel.txt'],150
invari,1,['la_biblioteca_de_babel.txt'],151
inalter,1,['la_biblioteca_de_babel.txt'],151
aniquilado,1,['la_biblioteca_de_babel.txt'],151
ruego,1,['la_biblioteca_de_babel.txt'],152
abandonaron,1,['la_biblioteca_de_babel.txt'],153
peldaño,1,['la_biblioteca_de_babel.txt'],154
hablamo,1,['la_biblioteca_de_babel.txt'],154
llegan,1,['la_biblioteca_de_babel.txt'],155
obligada,1,['la_biblioteca_de_babel.txt'],157
combinacion,1,['la_biblioteca_de_babel.txt'],158
comput,1,['la_biblioteca_de_babel.txt'],158
superfici,1,['la_biblioteca_de_babel.txt'],160
urgía,1,['la_biblioteca_de_babel.txt'],162
espacio,1,['la_biblioteca_de_babel.txt'],162
ojo,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",162
subsiguient,1,['la_biblioteca_de_babel.txt'],162
primero,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",162
vieron,1,['la_biblioteca_de_babel.txt'],163
hojeaban,1,['la_biblioteca_de_babel.txt'],164
excepción,1,['la_biblioteca_de_babel.txt'],164
color,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",165
lanzaron,1,['la_biblioteca_de_babel.txt'],165
ex,1,['la_biblioteca_de_babel.txt'],165
peregrinacion,1,['la_biblioteca_de_babel.txt'],166
mano,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",167
oficial,1,['la_biblioteca_de_babel.txt'],167
ilustrado,1,['la_biblioteca_de_babel.txt'],167
imaginaria,1,['la_biblioteca_de_babel.txt'],168
función,1,['la_biblioteca_de_babel.txt'],170
veintidó,1,['la_biblioteca_de_babel.txt'],170
hecho,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",171
desaforada,1,['la_biblioteca_de_babel.txt'],172
piso,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",173
veinticinco,1,['la_biblioteca_de_babel.txt'],173
dabl,1,['la_biblioteca_de_babel.txt'],173
vestigio,1,['la_biblioteca_de_babel.txt'],174
dedujo,1,['la_biblioteca_de_babel.txt'],175
fin,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",175
oh,1,['la_biblioteca_de_babel.txt'],175
purificador,1,['la_biblioteca_de_babel.txt'],176
vano,1,['la_biblioteca_de_babel.txt'],176
propuso,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",176
inaudito,1,['la_biblioteca_de_babel.txt'],177
pura,1,['la_biblioteca_de_babel.txt'],178
duplicación,1,['la_biblioteca_de_babel.txt'],179
consumido,1,['la_biblioteca_de_babel.txt'],179
remedaban,1,['la_biblioteca_de_babel.txt'],179
inflexion,1,['la_biblioteca_de_babel.txt'],180
prefiero,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",180
seri,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",181
barbari,1,['la_biblioteca_de_babel.txt'],181
debe,1,['la_biblioteca_de_babel.txt'],182
tapa,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",182
trueno,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",183
esfera,1,['la_biblioteca_de_babel.txt'],184
pirámid,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",184
estrangulaban,1,['la_biblioteca_de_babel.txt'],185
número,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",185
universalment,1,['la_biblioteca_de_babel.txt'],185
air,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",186
alguna,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",186
coma,1,['la_biblioteca_de_babel.txt'],186
encierren,1,['la_biblioteca_de_babel.txt'],187
absoluto,1,['la_biblioteca_de_babel.txt'],187
secreto,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",187
obra,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",188
fanático,1,['la_biblioteca_de_babel.txt'],189
posibl,1,['la_biblioteca_de_babel.txt'],189
cifra,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",189
sajon,1,['la_biblioteca_de_babel.txt'],189
razonaron,1,['la_biblioteca_de_babel.txt'],190
dudar,1,['la_biblioteca_de_babel.txt'],190
fárrago,1,['la_biblioteca_de_babel.txt'],192
divinidad,1,['la_biblioteca_de_babel.txt'],192
natur,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",192
vastísimo,1,['la_biblioteca_de_babel.txt'],193
forma,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",193
distra,1,['la_biblioteca_de_babel.txt'],193
izquierda,1,['la_biblioteca_de_babel.txt'],194
haber,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",194
pentagon,1,['la_biblioteca_de_babel.txt'],194
infam,1,['la_biblioteca_de_babel.txt'],195
ventilación,1,['la_biblioteca_de_babel.txt'],196
antiguo,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",197
región,1,['la_biblioteca_de_babel.txt'],198
quinc,1,['la_biblioteca_de_babel.txt'],198
permitieron,1,['la_biblioteca_de_babel.txt'],198
circunferencia,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",199
disputaban,1,['la_biblioteca_de_babel.txt'],199
inferir,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",199
genio,1,['la_biblioteca_de_babel.txt'],200
normal,1,['la_biblioteca_de_babel.txt'],201
cubren,1,['la_biblioteca_de_babel.txt'],201
albur,1,['la_biblioteca_de_babel.txt'],202
biblioteca,1,['la_biblioteca_de_babel.txt'],202
mcv,1,['la_biblioteca_de_babel.txt'],206
dijeron,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",207
fatigan,1,['la_biblioteca_de_babel.txt'],208
formato,1,['la_biblioteca_de_babel.txt'],208
perfecto,1,['la_biblioteca_de_babel.txt'],208
indefinido,1,['la_biblioteca_de_babel.txt'],209
exced,1,['la_biblioteca_de_babel.txt'],209
inverosímil,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",209
hablar,1,['la_biblioteca_de_babel.txt'],210
hablan,1,['la_biblioteca_de_babel.txt'],210
guardaban,1,['la_biblioteca_de_babel.txt'],211
anula,1,['la_biblioteca_de_babel.txt'],211
refutación,1,['la_biblioteca_de_babel.txt'],212
análogo,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",213
sola,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",213
ahí,1,['la_biblioteca_de_babel.txt'],214
inacces,1,['la_biblioteca_de_babel.txt'],214
solitaria,1,['la_biblioteca_de_babel.txt'],216
perversament,1,['la_biblioteca_de_babel.txt'],216
tresciento,1,['la_biblioteca_de_babel.txt'],216
efecto,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",216
prefiguran,1,['la_biblioteca_de_babel.txt'],217
alguno,1,['la_biblioteca_de_babel.txt'],218
aeterno,1,['la_biblioteca_de_babel.txt'],218
una,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",218
encierra,1,['la_biblioteca_de_babel.txt'],219
incluy,1,['la_biblioteca_de_babel.txt'],222
ninguna,1,['la_biblioteca_de_babel.txt'],222
menor,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",223
rumbo,1,['la_biblioteca_de_babel.txt'],223
línea,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",223
poderoso,1,['la_biblioteca_de_babel.txt'],223
símbolo,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",223
existir,1,['la_biblioteca_de_babel.txt'],224
niñez,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",225
redactada,1,['la_biblioteca_de_babel.txt'],225
ahora,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",225
lee,1,['la_biblioteca_de_babel.txt'],226
eterno,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",227
segundo,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",227
vindicaban,1,['la_biblioteca_de_babel.txt'],227
descifrador,1,['la_biblioteca_de_babel.txt'],228
descifrado,1,['la_biblioteca_de_babel.txt'],228
oscura,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",229
cada,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",229
dotación,1,['la_biblioteca_de_babel.txt'],229
refieren,1,['la_biblioteca_de_babel.txt'],230
credencial,1,['la_biblioteca_de_babel.txt'],230
inconexión,1,['la_biblioteca_de_babel.txt'],230
mundial,1,['la_biblioteca_de_babel.txt'],232
recordaban,1,['la_biblioteca_de_babel.txt'],233
única,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",233
básteme,1,['la_biblioteca_de_babel.txt'],233
página,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",234
cuerpo,1,['la_biblioteca_de_babel.txt'],234
impresión,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",234
derecha,1,['la_biblioteca_de_babel.txt'],234
árabe,1,['la_biblioteca_de_babel.txt'],235
impenetr,1,['la_biblioteca_de_babel.txt'],236
misteriosa,1,['la_biblioteca_de_babel.txt'],236
supersticiosa,1,['la_biblioteca_de_babel.txt'],236
repetir,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",237
prodigado,1,['la_biblioteca_de_babel.txt'],237
proyeccion,1,['la_biblioteca_de_babel.txt'],237
historia,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",237
perdición,1,['la_biblioteca_de_babel.txt'],237
fondo,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",238
repetido,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",238
primordi,1,['la_biblioteca_de_babel.txt'],238
depredacion,1,['la_biblioteca_de_babel.txt'],238
inconcebiblement,1,['la_biblioteca_de_babel.txt'],239
significan,1,['la_biblioteca_de_babel.txt'],239
basta,1,['la_biblioteca_de_babel.txt'],239
posibilidad,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",240
cosa,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",240
escrito,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",241
muerto,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",244
